model,n,k_params,covariates,auc,brier,nll
intercept_only,34,0,,,0.1254325259515571,14.19748920517124
volume_only,34,1,volume_cc,0.8344827586206897,0.10563446993313941,11.285545998270548
volume_age_ps,34,3,volume_cc+age+who_status,0.903448275862069,0.0934810470801245,9.908801146394284
