method,pair,value,p_value
pearson,eqd2_vs_os,0.3389304091294446,1.7240068102755837e-06
pearson,scheme60_vs_os,0.337805837827707,1.8748044282068457e-06
pearson,age_vs_os,-0.2799472937517669,9.159154689173314e-05
pearson,age_vs_eqd2,-0.5670317739599597,1.479648073954497e-17
pearson,age_vs_dmean,-0.5645330019090351,2.1968200730476068e-17
