term,coef,hazard_ratio,p_value,concordance_index,n_patients
age,0.012534103078649663,1.0126129841720375,0.22437873484286494,0.6669374052414988,137
sex_M,0.014264179739761152,1.0143663985960232,0.9364994909935302,0.6669374052414988,137
who_status,0.45384666833076903,1.5743565802446247,0.00045218694483637747,0.6669374052414988,137
eqd2_gy,-0.0352377672472492,0.9653758542080638,0.009282977378836928,0.6669374052414988,137
rano_controlled_t1,-0.7245466320462188,0.48454419597632037,0.0008669740802252929,0.6669374052414988,137
