model,dose_variable,n,outcome_definition,D50_gy,gamma50,param2_name,nll,nll_null,aic,bic,aic_null,bic_null,lr_chi2,lr_p_value,mcfadden_pseudo_r2,roc_auc_insample,roc_auc_cv_mean,roc_auc_cv_std,brier_score,brier_null,accuracy_at_0p5,sensitivity,specificity,pred_tcp_min,pred_tcp_max,k
poisson_tcp,eqd2_gy,190,OS >= median (51 wk),53.20047040412059,3.323732564123027,gamma50,118.90916249035902,131.68743779619973,241.81832498071805,248.31237312503902,263.37487559239946,263.37487559239946,25.556550611681416,2.821405745701e-06,0.09703488441787778,0.683455230496454,0.6848461064943059,0.09778655015699136,0.2176348960313128,0.24997229916897504,0.6736842105263158,0.8229166666666666,0.5212765957446809,0.06512055621684944,0.6355610511358518,
logistic_tcp,eqd2_gy,190,OS >= median (51 wk),53.9682151857252,,k,118.87274309955279,131.68743779619973,241.74548619910559,248.23953434342656,263.37487559239946,263.37487559239946,25.629389393293877,2.7205004743402483e-06,0.09731144375729317,0.683455230496454,0.6848461064943059,0.09778655015699136,0.21745690161476133,0.24997229916897504,0.6736842105263158,0.8229166666666666,0.5212765957446809,0.10816388930116907,0.6364796591853082,0.09286093980659833
poisson_tcp,Dmean_gy,190,OS >= median (51 wk),52.39440639616757,2.9041976430020773,gamma50,118.86710862062966,131.68743779619973,241.73421724125933,248.2282653855803,263.37487559239946,263.37487559239946,25.640658351140132,2.7052149751405352e-06,0.09735423051825853,0.6863918439716312,0.6857125269313636,0.08562949828457084,0.21761523683561354,0.24997229916897504,0.6684210526315789,0.8229166666666666,0.5106382978723404,0.04176939614902539,0.6631875560437056,
