model,n,n_folds,top_n_features,auc_insample,nested_cv_auc,nested_cv_brier,optimism_delta
dvh_volume_only,137,5,,0.7074404761904761,0.6973214285714285,0.16446373829089803,0.010119047619047583
dvh_volume_clinical,137,5,,0.7160714285714286,0.6744047619047618,0.1680296834910943,0.04166666666666674
pyro_top5_nested,137,5,5.0,0.7833333333333333,0.7383928571428571,0.15890363475448277,0.04494047619047625
pyro_top5_clinical_nested,137,5,5.0,0.7883928571428571,0.7151785714285714,0.1661398556138057,0.07321428571428568
