term,coef,hazard_ratio,p_value,concordance_index
age,0.010677042525428558,1.0107342455490749,0.23490833746005985,0.6560303626651672
sex_M,0.03285028097465682,1.0333958086452735,0.8294066496921576,0.6560303626651672
who_status,0.3540727463439617,1.4248588359807606,0.0009482496157536323,0.6560303626651672
scheme_60gy,-0.6141010409163301,0.541127127872003,0.0006698528974738111,0.6560303626651672
