metric,n,mean,std,min,median,max
D2_gy,190.0,54.31721670712924,9.719027857451273,25.53061267852783,60.82717548370361,62.52020202636719
D5_gy,190.0,54.10675425780447,9.672553282551432,25.43212604522705,60.65425853729248,62.391064453125
D10_gy,190.0,53.92499971590545,9.637610746383809,25.329111289978027,60.502529525756835,62.28261032104492
D25_gy,190.0,53.61119346869619,9.583622399646604,25.123737812042236,60.230027198791504,62.09850883483887
D50_gy,190.0,53.23013117438868,9.52240675026297,24.90690326690674,59.85330295562744,61.865379333496094
D90_gy,190.0,52.48437553104601,9.387853328360823,24.600777244567873,58.961385345458986,61.33518676757812
D95_gy,190.0,52.241567127830095,9.327161850518593,24.53397731781006,58.68878259658814,61.16558723449707
D98_gy,190.0,51.88432167535079,9.228085010074519,24.461997833251953,58.230270576477054,60.98148376464844
V20_pct,190.0,100.0,0.0,100.0,100.0,100.0
V40_pct,190.0,86.16141516672951,20.89734956133979,0.0,100.0,100.0
V50_pct,190.0,66.73208383981022,47.146827669389566,0.0,100.0,100.0
V60_pct,190.0,32.6874144750772,26.703507692575542,0.0,41.39470906859966,99.9828981330462
Dmean_gy,190.0,53.206784710131195,9.509000610190714,24.935998916625977,59.83511924743652,61.83676528930664
Dmax_gy,190.0,55.19795918715628,9.92257852806227,25.854780197143555,61.57115173339844,66.49687194824219
Dmin_gy,190.0,50.5830616198088,8.917486946693888,24.189807891845703,55.79057502746582,59.393310546875
Dstd_gy,190.0,0.5990573652480778,0.28375130810366095,0.1817823946475982,0.5803346335887909,2.3017895221710205
HI_gy,190.0,0.04533108881865592,0.019478039977210048,0.0154548667405554,0.0428369007229497,0.13656130331998
volume_cc,190.0,46.13901240066158,34.32387217586644,0.7965011394023896,36.18,180.7925
gEUD_am10_gy,190.0,53.15959725735203,9.495826744427044,24.919534042350524,59.80593440656921,61.824024681715805
gEUD_a1_gy,190.0,53.20678458341972,9.509000604362859,24.93600113940701,59.83512011593585,61.836762641314394
gEUD_a10_gy,190.0,53.24098994643671,9.517080422053052,24.949839295950063,59.873456376123045,61.84700812233328
