term,coef_stdized,odds_ratio,model,n,auc
intercept,2.3499525149414344,10.485071828656508,volume_age_ps,34,0.903448275862069
volume_cc,1.1235203091615489,3.075662450647924,volume_age_ps,34,0.903448275862069
age,-0.8152181000030744,0.4425427982495752,volume_age_ps,34,0.903448275862069
who_status,-0.26639413256427386,0.7661371084040276,volume_age_ps,34,0.903448275862069
