model,endpoint,outcome_definition,n,event_rate,roc_auc_insample,roc_auc_cv_mean,roc_auc_cv_std,aic,lr_p_value,D50_gy
poisson_tcp,os_median_proxy,"OS >= median (56 wk), n=137",137,0.5182481751824818,0.6221724285104566,0.6212794348508635,0.08399635510729334,184.57523994286635,0.010231514926326013,53.636869057262395
poisson_tcp,rano_non_pd_t1,"RANO non-PD at t1, n=137, PD rate=23.4%",137,0.7664233576642335,0.4257440476190476,0.422108843537415,0.0531183675870043,155.90442640833163,1.0,1.0
logistic_tcp,os_median_proxy,"OS >= median (56 wk), n=137",137,0.5182481751824818,0.6221724285104566,0.6212794348508635,0.08399635510729334,184.6148848502374,0.010436352137982108,54.18255809093726
logistic_tcp,rano_non_pd_t1,"RANO non-PD at t1, n=137, PD rate=23.4%",137,0.7664233576642335,0.4257440476190476,0.422108843537415,0.0531183675870043,156.16618885329302,1.0,1.0
probit_tcp,os_median_proxy,"OS >= median (56 wk), n=137",137,0.5182481751824818,0.6221724285104566,0.6212794348508635,0.08399635510729334,184.6003458942793,0.010360760395077495,54.150467901101315
probit_tcp,rano_non_pd_t1,"RANO non-PD at t1, n=137, PD rate=23.4%",137,0.7664233576642335,0.4257440476190476,0.422108843537415,0.0531183675870043,158.705229508538,1.0,18.78648468905082
