parameter,estimate,ci_lower,ci_upper,bootstrap_std,n_bootstrap_success,n_bootstrap_failures
D50_gy,53.20047040412059,49.54025598509518,56.74914416414864,1.8695073501631545,1000,0
gamma50,3.323732564123027,2.0579125081977105,4.688614064768325,0.6684349164863599,1000,0
