field,in_modeling_table,n_nonnull,spearman_rho_vs_os,p_value
rt_delay_wk,True,190,0.2588609308848597,0.0003106286064016268
bmi,True,190,0.11673085618927552,0.10873743469784002
mri_t1_weeks,True,145,0.3937424121950587,9.600765727862368e-07
