term,coef,hazard_ratio,p_value,concordance_index,n_patients
volume_cc,0.0072740447962992595,1.0073005649240168,0.04460172072512225,0.6407551360355358,61
age,0.0044199391194591625,1.004429721457505,0.8285817029793525,0.6407551360355358,61
sex_M,-0.14834686559351795,0.8621320191375135,0.6039646507417404,0.6407551360355358,61
who_status,0.4667629238488996,1.5948232640337343,0.006376095193656142,0.6407551360355358,61
